l_includes|l_model_number|l_series|l_color|l_type|l_suitable|l_power|l_gm_type|l_gm_capacity|l_processor_name|l_processor_generation|l_ssd|l_ssd_capacity|l_ram|l_ram_type|l_clock_speed|l_expandable_memory|l_graphic_processor|l_number_cores|l_Id_id|created_at|updated_at
Laptop, Power Adaptor, User Guide, Warranty Documents|UX363EA-HP562WS|No description available|Pine Grey|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|4.2|No description available|Intel Integrated Iris Xe Graphics|4.0|239||
LAPTOP, ADAPTER, USER MANUAL|20S0S1MC00|No description available|Black|Business Laptop|Processing & Multitasking|No description available|DDR4|2 GB|Core i7|10th Gen|Yes|512 GB|16 GB|DDR4|No description available|No description available|NVIDIA GeForce GTX 2 GB MX330|0.0|240||
Laptop, Power Adaptor, User Guide, Warranty Documents|Ideapad 3 15IML05|No description available|Platinum Grey|Laptop|Everyday Use|No description available|No description available|No description available|Core i3|10th Gen|No|No description available|8 GB|DDR4|No description available|No description available|NA UHD GRAPHIC|0.0|241||
Laptop, Battery, Power Adaptor, User Guide, Warranty Documents|UN5401QA-KN511WS|Zenbook 14 Flip|Jade Black|Thin and Light Laptop|Processing & Multitasking|100W AC Adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|16 GB|LPDDR4X|4.2|No description available|AMD Radeon AMD Radeon Graphics|6.0|242||
Laptop, battery, adapter, cables and user manuals|X413EA-EB323WS|VivoBook Ultra 14 (2021)|Dreamy White|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz|No description available|Intel Integrated UHD|0.0|243||
Laptop, Power Adaptor, User Guide, Warranty Documents|T3300KA-LQ122WS|ASUS Vivobook 13 Slate OLED|Black|2 in 1 Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Pentium Quad Core|No description available|No|No description available|4 GB|LPDDR4X|1.1 GHz with Max Turbo Boost Frequency Up to 3.3 GHz|No description available|Intel Integrated UHD|4.0|244||
Laptop, Power Adaptor, Sleeve, Stand, Stylus, Stylus holder, User Guide, Warranty Documents|T3300KA-LQ111WS|ASUS Vivobook 13 Slate OLED|Black|2 in 1 Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Pentium Quad Core|No description available|Yes|256 GB|8 GB|LPDDR4X|1.1 GHz with Max Turbo Boost Frequency Up to 3.3 GHz|No description available|Intel Integrated UHD|4.0|245||
Laptop, Power Adaptor, User Guide, Warranty Documents|UX363EA-HP702WS|No description available|Pine Grey|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i7|11th Gen|Yes|512 GB|16 GB|LPDDR4X|4.7|No description available|Intel Integrated Iris Xe Graphics|4.0|246||
Laptop, Power Adaptor, User Guide, Warranty Documents|UX482EGR-KA711WS|ZenBook Duo 14 (2021) Touch Panel|Celestial Blue|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|GDDR6|2 GB|Core i7|11th Gen|Yes|1 TB|16 GB|LPDDR4X|2.9 GHz upto max turbo frequency at 5 GHz|No description available|NVIDIA GeForce MX450|4.0|247||
Laptop, Power Adaptor, User Guide, Warranty Documents|UX482EA-KA501WS|ZenBook Duo 14 (2021) Touch Panel|Celestial Blue|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|LPDDR4X|Base Frequency 2.40 GHz, Max Turbo Boost Frequency Up to 4.20 GHz|No description available|Intel Integrated Iris Xe|4.0|248||
