l_includes|l_model_number|l_series|l_color|l_type|l_suitable|l_power|l_gm_type|l_gm_capacity|l_processor_name|l_processor_generation|l_ssd|l_ssd_capacity|l_ram|l_ram_type|l_clock_speed|l_expandable_memory|l_graphic_processor|l_number_cores|l_Id_id|created_at|updated_at
Laptop, Power Adaptor, User Guide|E210MA-GJ011T|EeeBook 12|Peacock Blue|Thin and Light Laptop|Processing & Multitasking|33W AC Adapter|No description available|No description available|Celeron Dual Core|No description available|No|No description available|4 GB|DDR4|1.1 GHz with Turbo Boost Upto 2.8 GHz|No description available|Intel Integrated UHD 600|2.0|740||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ARH05|IdeaPad Gaming|Onyx Black|Gaming Laptop|Gaming, Processing & Multitasking|135 W Adapter|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|3.0 GHz with Turbo Boost Upto 4.0 Ghz|No description available|NVIDIA GeForce GTX 1650|6.0|741||
Laptop, Power Adaptor, User Guide|M433UA-EB584TS|Vivobook S14|Dreamy White|Thin and Light Laptop|Travel & Business|No description available|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|1 TB|8 GB|DDR4|2.1 Ghz With Turbo Upto 4.10|No description available|AMD Radeon AMD Radeon|6.0|742||
Laptop, Charger and User Manual|E41-45|No description available|Black|Notebook|Everyday Use, Processing & Multitasking|45W AC Adapter|No description available|No description available|APU Dual Core A9|No description available|No|No description available|4 GB|DDR4|3.1 GHz with Turbo Boost Upto 3.7 GHz|No description available|AMD Radeon R5|2.0|743||
Laptop, Power Adaptor, User Guide, Warranty Documents|14 ITL 6|Ideapad Slim 3i (2021)|Arctic Grey|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz with Turbo boost up to 4.2 GHz|12|Intel Integrated Iris Xe|4.0|744||
Laptop, Power Adaptor, User Guide, Warranty Documents|15IMH05|Legion 5|Phantom Black|Gaming Laptop|Gaming, Processing & Multitasking|170W Adapter|GDDR6|4 GB|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|2.5 GHz with Turbo Boost Up to 4.5 GHz|16|NVIDIA GeForce GTX 1650|4.0|745||
Laptop, Power Adaptor, User Guide, Warranty Documents|AN515-45/AN515-45-R7Z1|Nitro|Black|Gaming Laptop|Gaming, Processing & Multitasking|180W AC Adapter|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|256 GB|8 GB|DDR4|3.3 GHz with Turbo Boost up to 4.2 GHz|32|NVIDIA GeForce RTX 3050|6.0|746||
Laptop, Battery, Adapter, Cables and User Manuals|Inspiron 5418|Inspiron|Platinum Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.6 GHz upto Max Turbo Frequency at 4.4 GHz|16|Intel Integrated Iris Xe|4.0|747||
Laptop, Battery, Adapter, Cables and User Manuals|Vostro 5415|Vostro|Titan Grey|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|2.4 GHz with Turbo Boost Upto 4 GHz|16|AMD Radeon|6.0|748||
Laptop, Power Adaptor, User Guide, Warranty Documents|G513QE-HN108T|ROG Strix G15(2021)|Eclipse Gray|Gaming Laptop|Gaming, Processing & Multitasking|200 W AC Adapter|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|1 TB|16 GB|DDR4|3.2 GHz with Turbo Boost up to 4.4 GHz|32|NVIDIA GeForce RTX 3050|8.0|749||
Laptop, Power Adaptor, User Guide, Warranty Documents|KM413UA-EB501TS|VivoBook Ultra|Hearty Gold|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|2.1 GHz with Turbo Frequency Upto 4.0 GHz|No description available|AMD Radeon|6.0|750||
Laptop, Charger and Manual|E41-45|E41|Black|Notebook|Processing & Multitasking, Everyday Use|45W Adapter|No description available|No description available|APU Dual Core A6|No description available|No|No description available|4 GB|DDR4|3.0 GHz with Turbo Boost Upto 3.6 GHz|No description available|AMD Radeon R4 (Stoney Ridge)|2.0|751||
Laptop, Active Pen, Battery, Adapter, Cables and User Manuals|Inspiron 5410|Inspiron|Platinum Silver|2 in 1 Laptop|Processing & Multitasking|No description available|GDDR5|2 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz with Max Turbo Frequency at 4.2 GHz|16|NVIDIA GeForce MX350|4.0|752||
Laptop, Power Adaptor, User Guide, Warranty Documents|X515EP-EJ512TS|No description available|Silver|Thin and Light Laptop|Processing & Multitasking|No description available|DDR5|2 GB|Core i5|10th Gen|Yes|256 GB|8 GB|DDR4|No description available|No description available|NVIDIA GeForce MX330|0.0|753||
Laptop, Battery, Adapter, Cables and User Manuals|Inspiron 5518|Inspiron|Platinum Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.6 GHz with Max Turbo Frequency at 4.4 Ghz|32|Intel Integrated Iris Xe|4.0|754||
Laptop, Battery, Adapter, Cables and User Manuals|Inspiron 5515|Inspiron|Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|2.4 GHz with Max Turbo Frequency at 4 GHz|16|AMD Radeon Vega|6.0|755||
Laptop, Battery, Adapter, Cables and User Manuals|Inspiron 5518|Inspiron|Platinum Silver|Thin and Light Laptop|Processing & Multitasking|No description available|GDDR5|2 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.6 GHz with Max Turbo Frequency at 4.4 Ghz|32|NVIDIA GeForce MX450|4.0|756||
Laptop, Battery, Adapter, Cables and User Manuals|Inspiron 5518|Inspiron 5518|Silver|Laptop|Processing & Multitasking, Entertainment, Performance, Everyday Use, Travel & Business|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|Max Turbo Frequency upto 4.40 GHz|Upto 32 GB|NA Intel® Iris® Xe Graphics|4.0|757||
Laptop, Battery, Adapter, Cables and User Manuals|Inspiron 7400|Inspiron|Silver|Thin and Light Laptop|Processing & Multitasking|No description available|GDDR5|2 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|1 GHz upto max turbo frequency at 4.2 GHz|16|NVIDIA GeForce MX350|4.0|758||
Laptop, Battery, Adapter, Cables and User Manuals|XPS 9310|XPS|Platinum Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i7|11th Gen|Yes|1 TB|16 GB|LPDDR4X|2.4 GHz upto Max Turbo Frequency at 4.8 GHz|32|Intel Integrated Iris Xe|4.0|759||
Laptop, Power Adaptor, User Guide, Warranty Documents|M712UA-AU521TS|VivoBook 17|Transparent Silver|Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|16 GB|DDR4|2.1 GHz with Turbo Frequency upto 4.0 GHz|Upto 24 GB|AMD Radeon|6.0|760||
Laptop, Power Adaptor, User Guide, Warranty Documents|15-ec1025AX|HP Pavilion|Shadow Black|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|3.0 GHz with Turbo Frequency upto 4.0 GHz|16|NVIDIA GeForce GTX 1650Ti|6.0|761||
Laptop, Active Pen, Battery, Adapter, Cables and User Manuals|Inspiron 5410|Inspiron|Silver|2 in 1 Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz upto max turbo frequency at 4.2 GHz|16|Intel Integrated Iris Xe|4.0|762||
Laptop, Active Pen, Battery, Adapter, Cables and User Manuals|Inspiron 5410|Inspiron|Platinum Silver|2 in 1 Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz with Max Turbo Frequency at 4.2 GHz|16|Intel Integrated Iris Xe|4.0|763||
Laptop, Power Adaptor, User Guide, Warranty Documents|FX506HC-HN095T|TUF Gaming F15 (2021)|Graphite Black|Gaming Laptop|Gaming, Processing & Multitasking|180 W AC Adapter|GDDR6|4 GB|Core i7|11th Gen|Yes|1 TB|8 GB|DDR4|2.3 GHz with Turbo Boost up to 4.6 GHz|32|NVIDIA GeForce RTX 3050|8.0|764||
Laptop, battery, power adapter, user guide|GF63 Thin 10SCXR-1618IN / GF63 Thin 10SC-612IN|GF63 Thin|Black|Gaming Laptop|Gaming|120W Adapter|GDDR6|4 GB|Core i5|10th Gen|No|No description available|8 GB|DDR4|2.5 GHz with 4.5 GHz Max Turbo Boost Frequency|No description available|NVIDIA GeForce GTX 1650 Max Q|0.0|765||
Laptop, Battery, Adapter, Cables and User Manuals|G15-5510 / inspiron 5510|G15|Dark Shadow Grey|Gaming Laptop|Gaming, Processing & Multitasking|No description available|GDDR6|4 GB|Core i5|10th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz upto Max Turbo Frequency at 4.1 GHz|16|NVIDIA GeForce GTX 1650|4.0|766||
Laptop, Battery, Adapter, Cables and User Manuals|G15-5510 / inspiron 5510|G15|Dark Shadow Grey|Gaming Laptop|Gaming, Processing & Multitasking|No description available|GDDR6|4 GB|Core i5|10th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz upto Max Turbo Frequency at 4.1 GHz|16|NVIDIA GeForce GTX 1650|4.0|767||
Laptop, Power Adaptor, User Guide, GV 301 Sleeve Bag, Pen, Warranty Documents|GV301QH-K6464TS 2-in-1|ROG Flow X13 (2021)|Off Black|2 in 1 Gaming Laptop|Gaming, Processing & Multitasking|100W AC Adapter|GDDR6|4 GB|Ryzen 9 Octa Core|No description available|Yes|1 TB|16 GB|LPDDR4X|3.1 GHz with Turbo Boost up to 4.5 GHz|16|NVIDIA GeForce GTX 1650|8.0|768||
Laptop, Power Adaptor, User Guide, Warranty Documents, TUF Sticker, Palm Rest|FX706HC-HX070T|TUF Gaming F17 (2021)|Graphite Black|Gaming Laptop|Gaming, Processing & Multitasking|180 W AC Adapter|GDDR6|4 GB|Core i5|11th Gen|Yes|1 TB|8 GB|DDR4|2.7 GHz with Turbo Boost up to 3.5 GHz|32|NVIDIA GeForce RTX 3050|6.0|769||
Laptop, Battery, Adapter, Cables and User Manuals|G15-5510 / inspiron 5510|G15|Dark Shadow Grey|Gaming Laptop|Gaming, Processing & Multitasking|No description available|GDDR6|4 GB|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz upto Max Turbo Frequency at 4.1 GHz|16|NVIDIA GeForce GTX 1650|4.0|770||
Laptop, battery, power adapter, user guide|Stealth 15M A11UEK-227IN|Stealth 15M|Carbon Gray|Gaming Laptop|Processing & Multitasking|150W Adapter|GDDR6|6 GB|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|5 GHz Max Turbo Boost Frequency|No description available|NVIDIA GeForce RTX 3060|0.0|771||
Laptop, Power Adaptor, User Guide, Warranty Documents|15s-DU1066TU|15s|Jet Black|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|10th Gen|No|No description available|8 GB|DDR4|2.1 GHz with Turbo Boost up to 4.1 GHz|No description available|Intel Integrated UHD|2.0|772||
Laptop, Power Adaptor, User Guide|ideapad slim 5|Ideapad Slim 5i|Graphite Grey|Thin and Light Laptop|Processing & Multitasking|65W Round Tip AC Adapter|GDDR6|2 GB|Core i5|11th Gen|Yes|256 GB|8 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|8|NVIDIA GeForce MX450|4.0|773||
Laptop, Power Adaptor, User Guide, Warranty Documents|15 ITL 05|Ideapad Slim 5i|Graphite Grey|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|GDDR6|2 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz with Turbo Boost upto 4.2 GHz|No description available|NVIDIA GeForce MX450|4.0|774||
Laptop, Power Adaptor, Battery, User Guide, Warranty Documents|Vostro 3401|Vostro|Black|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|10th Gen|Yes|256 GB|4 GB|DDR4|1.2 GHz with Turbo Boost Upto 3.4 GHz|Upto 16 GB|Intel Integrated UHD|2.0|775||
Laptop, Power Adaptor, User Guide|15-ec1105AX|15-ec1105AX|Shadow Black & Ultra Violet|Gaming Laptop|Gaming, Processing & Multitasking|No description available|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|3.0 GHz with Turbo Boost Upto 4.0 GHz|16|NVIDIA GeForce GTX 1650|6.0|776||
Laptop, Active Pen, Battery, Adapter, Cables and User Manuals|Inspiron 7415|Inspiron|Pebble Green|2 in 1 Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|2.4 GHz upto max turbo frequency at 4 GHz|16|AMD Radeon Vega|6.0|777||
Laptop, Active Pen, Battery, Adapter, Cables and User Manuals|Inspiron 5410|Inspiron|Silver|2 in 1 Laptop|Processing & Multitasking|No description available|GDDR5|2 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz upto max turbo frequency at 4.2 GHz|16|NVIDIA GeForce MX350|4.0|778||
Laptop, Power Adaptor, User Guide, Warranty Documents|14 ITL 6|Ideapad Slim3|Arctic Grey|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|3.0 GHz with Turbo Boost upto 4.1 GHz|12|Intel Integrated UHD|2.0|779||
Laptop, Power Adaptor, User Guide, Warranty Documents|15 ITL 05|Ideapad Slim 5i|Graphite Grey|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz with Turbo Boost upto 4.2 GHz|No description available|Intel Integrated Iris Xe|4.0|780||
Laptop, Battery, Power Adapter, User Guide|GF65 Thin 10UE-290IN|GF65 Thin|Black|Gaming Laptop|Gaming, Processing & Multitasking|180W Adapter|GDDR6|6 GB|Hexa Core i5|10th Gen|Yes|512 GB|16 GB|DDR4|2.5 GHz with Turbo Boost upto 4.5 GHz|No description available|NVIDIA GeForce RTX 3060|6.0|781||
Laptop, battery, power adapter, user guide|GF63 Thin 10SCXR-1616IN / GF63 Thin 10SC-611IN|GF63 Thin|Black|Gaming Laptop|Gaming|120W Adapter|GDDR6|4 GB|Hexa Core i5|10th Gen|Yes|256 GB|8 GB|DDR4|2.5 GHz with Turbo Boost upto 4.5 GHz|No description available|NVIDIA GeForce GTX 1650 Max Q|6.0|782||
Laptop, Power Adaptor, User Guide, Warranty Documents|E15|No description available|Black|Laptop|Processing & Multitasking|65W USB-C AC adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|4.0|805||
Laptop,Battery,AC Adapter,User guide and Manuals|Inspiron 15 5590|DELL 5590|Silver|Laptop|Processing & Multitasking, Entertainment, Gaming, Performance, Everyday Use, Travel & Business|No description available|GDDR5|2 GB|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|Upto 4.2GHz|No description available|NVIDIA GeForce GTX NVIDIA(R) GeForce(R) MX250 with 2GB GDDR5|4.0|783||
Laptop, Power Adaptor|G5 5500|GAMING G5 SERIES|Black|Gaming Laptop|Gaming, Performance, Processing & Multitasking, Entertainment|No description available|GDDR5|4 GB|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|No description available|No description available|NVIDIA GeForce GTX 1650Ti|4.0|784||
Laptop, Power Adaptor, User Guide, Warranty Documents|IdeaPad 3 15ITL6|Ideapad Slim 3i (2021)|Arctic Grey|Thin and Light Laptop|Processing & Multitasking|65W Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz with Turbo Boost upto 4.2 GHz|12|Intel Integrated Iris Xe|4.0|785||
Laptop, Power Adaptor, User Guide, Warranty Documents|IdeaPad 3 14ITL6|IdeaPad Slim 3i (2021)|Arctic Grey|Thin and Light Laptop|Processing & Multitasking|65W Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|3.0 GHz with Turbo Boost upto 4.1 GHz|8|Intel Integrated UHD|2.0|786||
Laptop, Power Adaptor, User Guide, Warranty Documents|KM413UA-EB503TS|VivoBook Ultra K14 (2021)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|2.1 GHz with Turbo Boost Upto 4.0 GHz|No description available|AMD Radeon|6.0|787||
Laptop, Power Adaptor, User Guide, Warranty Documents|14 ALC 05|Ideapad Slim 5|Graphite Grey|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Ryzen 7 Octa Core|No description available|Yes|512 GB|8 GB|DDR4|1.8 GHz with Turbo Boost upto 4.3 GHz|No description available|AMD Radeon|8.0|788||
Laptop, Power Adaptor, User Guide, Warranty Documents|15-EC1512AX|Pavilion Gaming|Shadow Black|Gaming Laptop|Gaming, Processing & Multitasking|No description available|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|256 GB|16 GB|DDR4|2.9 GHz with Turbo Boost Upto 4.2 GHz|Upto 16 GB|NVIDIA GeForce 1650Ti|8.0|789||
Laptop, Power Adaptor, User Guide, Warranty Documents|FX506HM-HN016T|TUF Gaming F15 (2021)|Graphite Black|Gaming Laptop|Gaming, Processing & Multitasking|200 W AC Adapter|GDDR6|6 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.7 GHz with Turbo Boost up to 4.5 GHz|32|NVIDIA GeForce RTX 3060|6.0|790||
Laptop, Power Adaptor, User Guide, Warranty Documents|KM413UA-EB502TS|VivoBook Ultra|Indie Black|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|2.1 GHz with Turbo Boost Upto 4.0 GHz|No description available|AMD Radeon|6.0|791||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ITL6|Ideapad Slim 3i (2021)|Arctic Grey|Thin and Light Laptop|Processing & Multitasking|65 W Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 Ghz|No description available|Intel Integrated Iris Xe|4.0|792||
Laptop, Power Adaptor, User Guide, Warranty Documents|T14|ThinkPad|Black|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i5|10th Gen|Yes|512 GB|16 GB|DDR4|1.6 GHz with Turbo Boost upto 4.2 GHz|No description available|Intel Integrated UHD|4.0|793||
Laptop, Power Adaptor, User Guide, Warranty Documents|Yoga Slim 7 14ITL05a|Yoga Slim 7 Intel EVO|Slate Grey|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter (USB - C Slim)|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|4.0|794||
Laptop, Power Adaptor, User Guide, Warranty Documents|Yoga Slim 7 14ITL05b|Yoga Slim 7 Intel EVO|Slate Grey|Thin and Light Laptop|Processing & Multitasking|65W USB-C Slim AC Adapter|No description available|No description available|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|2.8 GHz with Turbo Boost Upto 4.7 GHz|16|Intel Integrated Iris Xe|4.0|795||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ITL6/ 15ITL6 Ub|Ideapad Slim 3i (2021)|Arctic Grey|Thin and Light Laptop|Processing & Multitasking|65 W Adapter|No description available|No description available|Core i5|11th Gen|Yes|256 GB|8 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 Ghz|No description available|Intel Integrated Iris Xe|4.0|796||
Laptop, Power Adaptor, User Guide, Sleeve|GA401QC-HZ047TS|Zephyrus G14|White|Gaming Laptop|Gaming|150W AC Adapter|GDDR6|4 GB|Ryzen 7 Octa Core|5th Gen|Yes|1 TB|8 GB|DDR4|3.2 GHz with Turbo boost up to 4.4 GHz|24GB|NVIDIA GeForce RTX 3050|8.0|797||
Laptop, Power Adaptor, User Guide, Warranty Documents|E15|No description available|Black|Laptop|Processing & Multitasking|65W USB-C AC adapter|GDDR5|2 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|NVIDIA GeForce MX350|4.0|798||
Laptop, Power Adaptor, User Guide, Warranty Documents|E15|ThinkPad E15|Black|Thin and Light Laptop|Processing & Multitasking|65W USB-C AC adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|0.0|799||
Laptop, Power Adaptor, User Guide, Warranty Documents|42V68PA|No description available|Black|Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|3.0 GHz base frequency, upto 4.1 GHz with Intel®Turbo Boost Technology|No description available|Intel Integrated UHD|2.0|800||
Laptop, Power Adaptor, User Guide, Warranty Documents|15IMH05|IdeaPad Gaming 3|Onyx Black|Gaming Laptop|Gaming, Processing & Multitasking|135 W Slim Tip Adapter|GDDR6|4 GB|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|2.50 GHz with Turbo Boost Upto 4.50 GHz|Upto 16 GB|NVIDIA GeForce GTX 1650|4.0|801||
Laptop, Power Adaptor, User Guide, Warranty Documents|Y540-15IRH-PG0|Legion|Raven Black|Gaming Laptop|Processing & Multitasking, Gaming|170 W Slim Tip Adapter|GDDR5|4 GB|Core i5|9th Gen|Yes|256 GB|8 GB|DDR4|2.40 GHz with Turbo Boost Upto 4.10 GHz|Upto 32 GB|NVIDIA GeForce GTX 1650|4.0|802||
Laptop, Power Adaptor, User Guide|S433EA-AM702TS|VivoBook Ultra S14|Dreamy White|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i7|11th Gen|Yes|512 GB|8 GB|DDR4|2.8 GHz with Turbo Boost Upto 4.7 GHz|No description available|Intel Integrated Iris Xe|4.0|803||
Laptop, Power Adaptor, User Guide, Warranty Documents|E15|ThinkPad E15|Black|Thin and Light Laptop|Processing & Multitasking|65W USB-C AC adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|0.0|804||
Laptop, Power Adaptor, User Guide, Warranty Documents|T14|ThinkPad|Black|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|1.6 GHz with Turbo Boost upto 4.2 GHz|No description available|Intel Integrated UHD|4.0|806||
Laptop, Power Adaptor, User Guide, Warranty Documents|M712UA-AU501TS|VivoBook Ultra 17|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|256 GB|8 GB|DDR4|2.1 GHz with Turbo Boost Upto 4.0 GHz|No description available|AMD Radeon|6.0|807||
Laptop, Power Adaptor, Sleeve, USB-C to Audio Jack Adapter, User Guide, Warranty Documents|UX325EA-KG701TS|ZenBook 13 (2021) OLED|Lilac Mist|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i7|11th Gen|Yes|1 TB|16 GB|LPDDR4X|2.8 GHz with Turbo Boost Upto 4.7 GHz|No description available|Intel Integrated Iris Xe|4.0|808||
Laptop, Power Adaptor, User Guide, Warranty Documents|V-15 ADA|V Series|Iron Grey|Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Athlon Dual Core|No description available|No|No description available|4 GB|DDR4|2.3 GHz with Turbo Boost Upto 3.2 GHz|12|AMD Radeon AMD Radeon Graphics|2.0|809||
Laptop, Power Adaptor, User Guide, Warranty Documents|V-15 ADA|V Series|Iron Grey|Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Athlon Dual Core|No description available|No|No description available|4 GB|DDR4|2.4 GHz with Turbo Boost upto 3.3 GHz|12|AMD Radeon AMD Radeon Graphics|2.0|810||
Laptop, Battery, Adapter, Cables and User Manuals|XPS 13 9305|XPS|Platinum Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|1 GHz upto max turbo frequency at 4.2 GHz|16|Intel Integrated Iris Xe|4.0|811||
Laptop, Power Adaptor, User Guide|X415EA-EK302TS|Vivobook|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|4 GB|DDR4|3.0 GHz with Turbo Frequency upto 4.1 GHz|No description available|Intel Integrated UHD|2.0|812||
Laptop, Battery, Adapter, Cables and User Manuals|Vostro 3400|Vostro|Dune|Thin and Light Laptop|Processing & Multitasking, Everyday Use|No description available|No description available|No description available|Core i5|11th Gen|Yes|256 GB|8 GB|DDR4|2.4 GHz upto max turbo frequency at 4.2 GHz|16|Intel Integrated Iris Xe|4.0|813||
Laptop, Battery, Adapter, Cables and User Manuals|Vostro 3401|Vostro|Accent Black|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|10th Gen|Yes|256 GB|4 GB|DDR4|1.2 GHz with Turbo Boost Upto 3.4 GHz|Upto 16 GB|Intel Integrated UHD|2.0|814||
Laptop, Power Adaptor, User Guide, Warranty Documents|15IMH05|IdeaPad Gaming 3|Onyx Black|Gaming Laptop|Gaming, Processing & Multitasking|135 W Slim Tip Adapter|GDDR6|4 GB|Core i5|10th Gen|Yes|256 GB|8 GB|DDR4|2.50 GHz with Turbo Boost Upto 4.50 GHz|Upto 16 GB|NVIDIA GeForce GTX 1650|4.0|815||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ARH05|Ideapad Gaming 3|Onyx Black|Gaming Laptop|Gaming, Processing & Multitasking|135 W Adapter|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|256 GB|8 GB|DDR4|3.0 GHz with Turbo Boost Upto 4.0 Ghz|No description available|NVIDIA GeForce GTX 1650|6.0|816||
Laptop, Power Adaptor, User Guide, Warranty Documents|14ITL05U2a|Ideapad Slim 5i|Graphite Grey|Thin and Light Laptop|Processing & Multitasking|65 W Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 Ghz|No description available|Intel Integrated Iris Xe|4.0|817||
Laptop, Power Adaptor, User Guide, Warranty Documents|"15ALC05 A|| 15ALC05 B"|Ideapad Slim 5|Graphite Grey|Thin and Light Laptop|Processing & Multitasking|65 W Adapter|No description available|No description available|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|1.8 GHz with Turbo Boost Upto 4.3 Ghz|No description available|AMD Radeon|8.0|818||
Laptop, Power Adaptor, User Guide, Warranty Documents|V15|V15|Iron Grey|Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Athlon Dual Core|No description available|No|No description available|4 GB|DDR4|2.3 GHz with Turbo Boost Upto 3.2 GHz|Upto 12 GB|AMD Radeon|2.0|819||
